inspection_id,restaurant_id,inspection_type,date,result,score,inspector_id,notes,pass
86,335,Complaint,2019-02-07,Pass w/ Conditions,82,INSP6037,Inspection notes for inspection 86,True
87,605,Routine,2016-07-21,Fail,64,INSP7010,Inspection notes for inspection 87,False
88,725,Complaint,2022-11-20,Fail,3,INSP5559,Inspection notes for inspection 88,False
89,941,License,2024-08-21,Pass,6,INSP4666,Inspection notes for inspection 89,True
90,628,License,2024-03-11,Pass w/ Conditions,5,INSP8566,Inspection notes for inspection 90,True
91,116,Complaint,2021-01-14,Pass w/ Conditions,69,INSP7246,Inspection notes for inspection 91,True
92,894,Routine,2024-12-30,Pass,21,INSP5928,Inspection notes for inspection 92,True
93,5,License,2024-03-17,Pass w/ Conditions,29,INSP1278,Inspection notes for inspection 93,True
94,295,Complaint,2020-03-21,Fail,71,INSP8513,Inspection notes for inspection 94,False
95,793,Routine,2018-11-09,Fail,46,INSP4127,Inspection notes for inspection 95,False
96,338,Routine,2022-05-04,Pass,68,INSP8217,Inspection notes for inspection 96,True
97,872,Follow-up,2019-11-12,Pass w/ Conditions,72,INSP7979,Inspection notes for inspection 97,True
98,159,License,2021-01-23,Pass,63,INSP9194,Inspection notes for inspection 98,True
99,54,License,2020-07-17,Pass,78,INSP6017,Inspection notes for inspection 99,True
100,164,Follow-up,2019-10-27,Pass,22,INSP5989,Inspection notes for inspection 100,True
101,17,Routine,2018-11-11,Pass w/ Conditions,31,INSP4231,Inspection notes for inspection 101,True
102,638,Complaint,2020-07-26,Pass w/ Conditions,65,INSP4118,Inspection notes for inspection 102,True
103,435,Complaint,2020-02-22,Pass w/ Conditions,13,INSP2657,Inspection notes for inspection 103,True
104,960,Complaint,2019-07-15,Pass w/ Conditions,68,INSP5737,Inspection notes for inspection 104,True
105,396,License,2016-04-18,Pass w/ Conditions,4,INSP5859,Inspection notes for inspection 105,True
106,101,Complaint,2023-01-14,Pass w/ Conditions,46,INSP6486,Inspection notes for inspection 106,True
107,237,License,2024-02-11,Fail,27,INSP1191,Inspection notes for inspection 107,False
108,391,Complaint,2025-05-25,Pass w/ Conditions,83,INSP6045,Inspection notes for inspection 108,True
109,989,Routine,2015-08-28,Pass w/ Conditions,84,INSP1782,Inspection notes for inspection 109,True
110,894,Complaint,2025-01-30,Pass w/ Conditions,20,INSP6336,Inspection notes for inspection 110,True
111,420,Follow-up,2023-02-25,Pass,39,INSP8145,Inspection notes for inspection 111,True
112,941,License,2020-06-19,Pass,32,INSP2489,Inspection notes for inspection 112,True
113,464,Follow-up,2022-10-26,Pass w/ Conditions,90,INSP2468,Inspection notes for inspection 113,True
114,660,Complaint,2017-07-06,Pass,95,INSP4542,Inspection notes for inspection 114,True
115,685,License,2023-11-07,Pass w/ Conditions,24,INSP7208,Inspection notes for inspection 115,True
116,687,Complaint,2017-07-10,Pass w/ Conditions,53,INSP3842,Inspection notes for inspection 116,True
117,454,License,2023-01-23,Pass,90,INSP3752,Inspection notes for inspection 117,True
118,695,Routine,2023-09-16,Pass w/ Conditions,81,INSP7603,Inspection notes for inspection 118,True
119,271,Routine,2016-10-05,Pass w/ Conditions,79,INSP6691,Inspection notes for inspection 119,True
120,71,Follow-up,2023-09-17,Fail,9,INSP8771,Inspection notes for inspection 120,False
121,867,Complaint,2021-01-09,Pass w/ Conditions,36,INSP8409,Inspection notes for inspection 121,True
122,675,License,2023-01-19,Fail,84,INSP9585,Inspection notes for inspection 122,False
123,969,Complaint,2016-04-14,Pass w/ Conditions,5,INSP4653,Inspection notes for inspection 123,True
124,24,License,2015-12-21,Pass w/ Conditions,93,INSP9891,Inspection notes for inspection 124,True
125,622,Complaint,2016-10-20,Fail,1,INSP3296,Inspection notes for inspection 125,False
126,378,Complaint,2016-01-26,Fail,97,INSP5767,Inspection notes for inspection 126,False
127,96,Complaint,2017-12-08,Pass,49,INSP2515,Inspection notes for inspection 127,True
128,96,Routine,2022-07-19,Pass w/ Conditions,35,INSP1545,Inspection notes for inspection 128,True
129,868,License,2018-10-21,Fail,59,INSP4797,Inspection notes for inspection 129,False
130,997,Complaint,2016-08-15,Pass,45,INSP8348,Inspection notes for inspection 130,True
131,440,Follow-up,2024-07-09,Fail,71,INSP4461,Inspection notes for inspection 131,False
132,356,Complaint,2022-10-30,Pass w/ Conditions,100,INSP5242,Inspection notes for inspection 132,True
133,790,Complaint,2022-01-19,Pass w/ Conditions,69,INSP1096,Inspection notes for inspection 133,True
134,736,Routine,2024-11-19,Pass,24,INSP5767,Inspection notes for inspection 134,True
135,65,Complaint,2023-01-17,Fail,29,INSP6168,Inspection notes for inspection 135,False
136,318,Follow-up,2025-02-13,Pass w/ Conditions,52,INSP9290,Inspection notes for inspection 136,True
137,671,Routine,2022-10-09,Pass w/ Conditions,36,INSP6144,Inspection notes for inspection 137,True
138,275,Complaint,2021-12-02,Pass w/ Conditions,30,INSP8222,Inspection notes for inspection 138,True
139,914,License,2020-04-11,Pass w/ Conditions,2,INSP8431,Inspection notes for inspection 139,True
140,602,License,2021-08-10,Fail,81,INSP3129,Inspection notes for inspection 140,False
141,114,Routine,2022-08-30,Pass w/ Conditions,98,INSP9111,Inspection notes for inspection 141,True
142,523,Complaint,2023-05-20,Pass,41,INSP2342,Inspection notes for inspection 142,True
143,490,Follow-up,2022-05-18,Pass w/ Conditions,57,INSP7859,Inspection notes for inspection 143,True
144,185,Routine,2017-06-25,Pass w/ Conditions,7,INSP5847,Inspection notes for inspection 144,True
145,742,Routine,2023-01-07,Pass w/ Conditions,65,INSP2584,Inspection notes for inspection 145,True
146,417,License,2015-06-27,Pass w/ Conditions,96,INSP4870,Inspection notes for inspection 146,True
147,529,Routine,2015-09-02,Fail,31,INSP4872,Inspection notes for inspection 147,False
148,370,License,2023-01-23,Pass w/ Conditions,48,INSP7916,Inspection notes for inspection 148,True
149,311,Routine,2016-09-23,Pass,26,INSP6186,Inspection notes for inspection 149,True
150,620,Routine,2020-11-05,Fail,62,INSP2840,Inspection notes for inspection 150,False
151,33,Follow-up,2016-03-20,Fail,3,INSP7561,Inspection notes for inspection 151,False
152,833,License,2025-05-21,Pass,23,INSP9912,Inspection notes for inspection 152,True
153,679,Follow-up,2017-09-30,Pass w/ Conditions,3,INSP8388,Inspection notes for inspection 153,True
154,283,License,2021-02-21,Pass w/ Conditions,52,INSP5183,Inspection notes for inspection 154,True
155,804,License,2021-11-19,Pass,64,INSP5194,Inspection notes for inspection 155,True
156,892,Complaint,2019-09-29,Pass,85,INSP2881,Inspection notes for inspection 156,True
157,7,License,2021-10-26,Pass w/ Conditions,60,INSP9968,Inspection notes for inspection 157,True
158,687,Complaint,2024-03-19,Pass w/ Conditions,46,INSP8498,Inspection notes for inspection 158,True
159,112,Complaint,2020-12-17,Pass w/ Conditions,68,INSP9046,Inspection notes for inspection 159,True
160,903,License,2018-11-08,Pass,11,INSP7997,Inspection notes for inspection 160,True
161,952,Follow-up,2019-08-09,Pass,30,INSP6419,Inspection notes for inspection 161,True
162,374,License,2019-02-09,Pass w/ Conditions,23,INSP3219,Inspection notes for inspection 162,True
163,689,Routine,2015-06-27,Pass,59,INSP9259,Inspection notes for inspection 163,True
164,987,Routine,2019-08-05,Fail,42,INSP5471,Inspection notes for inspection 164,False
165,743,License,2020-10-04,Pass w/ Conditions,36,INSP2034,Inspection notes for inspection 165,True
166,368,Follow-up,2017-12-03,Fail,17,INSP7221,Inspection notes for inspection 166,False
167,324,Complaint,2023-08-16,Pass w/ Conditions,39,INSP2450,Inspection notes for inspection 167,True
168,362,Routine,2022-07-16,Pass,24,INSP8160,Inspection notes for inspection 168,True
169,979,Follow-up,2018-02-23,Pass,31,INSP4066,Inspection notes for inspection 169,True
170,871,Follow-up,2016-02-23,Fail,12,INSP9839,Inspection notes for inspection 170,False
171,220,Follow-up,2019-04-06,Pass,15,INSP9631,Inspection notes for inspection 171,True
172,998,Complaint,2021-01-23,Pass w/ Conditions,15,INSP6217,Inspection notes for inspection 172,True
173,335,License,2021-07-17,Pass w/ Conditions,34,INSP4429,Inspection notes for inspection 173,True
174,423,Follow-up,2021-05-16,Pass w/ Conditions,38,INSP7810,Inspection notes for inspection 174,True
175,923,Routine,2022-10-07,Pass w/ Conditions,30,INSP9628,Inspection notes for inspection 175,True
176,582,License,2016-11-10,Pass w/ Conditions,5,INSP2842,Inspection notes for inspection 176,True
177,705,Routine,2021-06-24,Pass w/ Conditions,62,INSP7776,Inspection notes for inspection 177,True
178,855,License,2025-03-17,Pass,15,INSP6937,Inspection notes for inspection 178,True
179,854,Routine,2016-09-06,Pass w/ Conditions,35,INSP4402,Inspection notes for inspection 179,True
180,543,Follow-up,2017-02-10,Pass w/ Conditions,83,INSP6906,Inspection notes for inspection 180,True
181,168,Follow-up,2019-06-22,Pass,81,INSP5625,Inspection notes for inspection 181,True
182,409,License,2024-04-01,Pass w/ Conditions,26,INSP2762,Inspection notes for inspection 182,True
183,356,Follow-up,2019-09-09,Pass,91,INSP1348,Inspection notes for inspection 183,True
184,879,Follow-up,2024-12-19,Pass,69,INSP9469,Inspection notes for inspection 184,True
185,133,License,2023-01-24,Pass,50,INSP7149,Inspection notes for inspection 185,True
186,492,Routine,2017-09-20,Pass w/ Conditions,93,INSP6550,Inspection notes for inspection 186,True
187,62,License,2018-08-22,Pass,68,INSP5105,Inspection notes for inspection 187,True
188,124,License,2021-04-23,Fail,52,INSP1373,Inspection notes for inspection 188,False
189,72,License,2015-08-28,Fail,38,INSP2403,Inspection notes for inspection 189,False
190,349,Complaint,2022-10-26,Fail,59,INSP2627,Inspection notes for inspection 190,False
191,118,Routine,2018-04-16,Pass w/ Conditions,1,INSP7495,Inspection notes for inspection 191,True
192,23,Routine,2016-02-15,Pass w/ Conditions,43,INSP1607,Inspection notes for inspection 192,True
193,770,License,2023-01-09,Fail,10,INSP5250,Inspection notes for inspection 193,False
194,512,Routine,2020-02-06,Pass w/ Conditions,59,INSP2239,Inspection notes for inspection 194,True
195,780,Complaint,2024-04-11,Fail,63,INSP5481,Inspection notes for inspection 195,False
196,508,License,2016-08-22,Fail,70,INSP6627,Inspection notes for inspection 196,False
197,385,License,2024-01-25,Fail,71,INSP6033,Inspection notes for inspection 197,False
198,608,Follow-up,2021-01-15,Fail,99,INSP4008,Inspection notes for inspection 198,False
199,967,Routine,2016-10-11,Pass w/ Conditions,48,INSP1660,Inspection notes for inspection 199,True
200,361,Follow-up,2022-02-12,Pass,92,INSP4552,Inspection notes for inspection 200,True
201,466,License,2020-05-11,Pass w/ Conditions,64,INSP5687,Inspection notes for inspection 201,True
202,372,Follow-up,2019-07-17,Fail,93,INSP2047,Inspection notes for inspection 202,False
203,688,License,2018-07-11,Pass,18,INSP9067,Inspection notes for inspection 203,True
204,181,License,2016-08-13,Pass w/ Conditions,61,INSP6411,Inspection notes for inspection 204,True
205,130,License,2023-08-22,Fail,59,INSP4705,Inspection notes for inspection 205,False
206,224,Complaint,2020-07-16,Fail,67,INSP4042,Inspection notes for inspection 206,False
207,891,License,2018-12-19,Pass,9,INSP8502,Inspection notes for inspection 207,True
208,76,Complaint,2017-08-11,Pass,90,INSP5037,Inspection notes for inspection 208,True
209,602,Complaint,2019-07-28,Pass,47,INSP2115,Inspection notes for inspection 209,True
210,977,Complaint,2016-08-14,Fail,39,INSP3305,Inspection notes for inspection 210,False
211,921,Routine,2024-08-17,Pass w/ Conditions,1,INSP4543,Inspection notes for inspection 211,True
212,456,Follow-up,2017-01-08,Pass,55,INSP5341,Inspection notes for inspection 212,True
213,268,Routine,2015-09-07,Pass w/ Conditions,73,INSP3284,Inspection notes for inspection 213,True
214,697,Complaint,2020-09-02,Pass w/ Conditions,13,INSP2383,Inspection notes for inspection 214,True
215,416,License,2022-07-12,Fail,52,INSP9840,Inspection notes for inspection 215,False
216,885,License,2016-10-18,Pass,35,INSP2816,Inspection notes for inspection 216,True
217,228,Follow-up,2023-01-16,Pass,86,INSP2015,Inspection notes for inspection 217,True
218,968,Complaint,2018-06-06,Fail,50,INSP9596,Inspection notes for inspection 218,False
219,731,Complaint,2017-10-17,Pass w/ Conditions,95,INSP4666,Inspection notes for inspection 219,True
220,972,Routine,2024-02-01,Pass,63,INSP3052,Inspection notes for inspection 220,True
221,9,Complaint,2025-01-02,Fail,68,INSP5306,Inspection notes for inspection 221,False
222,177,Complaint,2019-02-16,Pass w/ Conditions,92,INSP5249,Inspection notes for inspection 222,True
223,325,Routine,2022-06-09,Fail,50,INSP3604,Inspection notes for inspection 223,False
224,999,Follow-up,2019-12-06,Fail,75,INSP1061,Inspection notes for inspection 224,False
225,834,Follow-up,2019-08-02,Pass w/ Conditions,99,INSP7450,Inspection notes for inspection 225,True
226,341,Complaint,2021-01-12,Pass w/ Conditions,84,INSP1240,Inspection notes for inspection 226,True
227,743,Routine,2015-11-18,Fail,20,INSP5207,Inspection notes for inspection 227,False
228,380,License,2018-06-17,Fail,33,INSP8515,Inspection notes for inspection 228,False
229,398,Complaint,2019-11-14,Pass w/ Conditions,85,INSP1589,Inspection notes for inspection 229,True
230,270,Follow-up,2021-07-25,Pass w/ Conditions,77,INSP5245,Inspection notes for inspection 230,True
231,979,Follow-up,2023-08-22,Pass,37,INSP1878,Inspection notes for inspection 231,True
232,883,Follow-up,2025-02-02,Fail,23,INSP7058,Inspection notes for inspection 232,False
233,316,Complaint,2019-01-08,Pass,26,INSP9038,Inspection notes for inspection 233,True
234,491,Routine,2015-08-07,Pass,23,INSP6570,Inspection notes for inspection 234,True
235,733,Follow-up,2024-08-10,Fail,25,INSP7097,Inspection notes for inspection 235,False
236,366,Follow-up,2020-10-10,Fail,59,INSP5676,Inspection notes for inspection 236,False
237,361,Routine,2025-04-05,Pass w/ Conditions,94,INSP1093,Inspection notes for inspection 237,True
238,721,License,2019-11-30,Pass w/ Conditions,23,INSP9868,Inspection notes for inspection 238,True
239,677,Routine,2024-02-20,Pass w/ Conditions,24,INSP8093,Inspection notes for inspection 239,True
240,114,Complaint,2017-10-28,Fail,17,INSP2515,Inspection notes for inspection 240,False
241,868,Complaint,2025-01-16,Fail,35,INSP8996,Inspection notes for inspection 241,False
242,306,Routine,2016-01-13,Pass,25,INSP7875,Inspection notes for inspection 242,True
243,619,Follow-up,2018-02-02,Pass w/ Conditions,100,INSP8858,Inspection notes for inspection 243,True
244,806,Routine,2016-04-08,Pass,42,INSP9269,Inspection notes for inspection 244,True
245,476,Complaint,2016-10-14,Pass w/ Conditions,36,INSP2013,Inspection notes for inspection 245,True
246,996,Routine,2022-02-21,Pass w/ Conditions,19,INSP8840,Inspection notes for inspection 246,True
247,483,Follow-up,2019-09-24,Fail,91,INSP7870,Inspection notes for inspection 247,False
248,373,Follow-up,2015-06-27,Pass,27,INSP6081,Inspection notes for inspection 248,True
249,109,Complaint,2018-08-19,Pass,13,INSP8289,Inspection notes for inspection 249,True
250,22,License,2019-03-23,Pass w/ Conditions,7,INSP8795,Inspection notes for inspection 250,True
251,573,Follow-up,2018-03-22,Pass,67,INSP1883,Inspection notes for inspection 251,True
252,915,Follow-up,2021-11-07,Fail,9,INSP3439,Inspection notes for inspection 252,False
253,919,Routine,2025-05-12,Pass,9,INSP1638,Inspection notes for inspection 253,True
254,889,Routine,2023-02-09,Pass,3,INSP5805,Inspection notes for inspection 254,True
255,793,Routine,2023-01-03,Pass,41,INSP5772,Inspection notes for inspection 255,True
256,166,Complaint,2018-12-31,Fail,62,INSP7111,Inspection notes for inspection 256,False
257,8,Follow-up,2021-01-12,Fail,55,INSP7430,Inspection notes for inspection 257,False
258,909,Complaint,2016-09-02,Pass,52,INSP1885,Inspection notes for inspection 258,True
259,869,Follow-up,2022-09-18,Pass w/ Conditions,31,INSP6783,Inspection notes for inspection 259,True
260,9,Routine,2020-02-11,Fail,67,INSP1395,Inspection notes for inspection 260,False
261,748,License,2023-01-11,Pass w/ Conditions,18,INSP8107,Inspection notes for inspection 261,True
262,603,Complaint,2018-01-17,Fail,60,INSP8604,Inspection notes for inspection 262,False
263,751,Follow-up,2021-06-20,Pass,42,INSP7619,Inspection notes for inspection 263,True
264,903,Complaint,2016-01-10,Fail,59,INSP8703,Inspection notes for inspection 264,False
265,415,Follow-up,2023-03-11,Fail,69,INSP9796,Inspection notes for inspection 265,False
266,766,Follow-up,2021-11-26,Pass,63,INSP6523,Inspection notes for inspection 266,True
267,867,Routine,2015-12-15,Fail,14,INSP7183,Inspection notes for inspection 267,False
268,348,Routine,2024-12-26,Pass,45,INSP3518,Inspection notes for inspection 268,True
269,392,Routine,2017-08-20,Fail,39,INSP3418,Inspection notes for inspection 269,False
270,271,Follow-up,2025-02-20,Pass,67,INSP2355,Inspection notes for inspection 270,True
271,944,Complaint,2023-08-05,Pass w/ Conditions,71,INSP8067,Inspection notes for inspection 271,True
272,406,Complaint,2017-09-02,Pass,46,INSP2105,Inspection notes for inspection 272,True
273,599,License,2022-06-23,Pass,70,INSP2334,Inspection notes for inspection 273,True
274,639,Routine,2017-07-02,Pass w/ Conditions,5,INSP3926,Inspection notes for inspection 274,True
275,31,Follow-up,2020-02-17,Pass w/ Conditions,10,INSP8060,Inspection notes for inspection 275,True
276,550,Routine,2019-07-13,Pass w/ Conditions,4,INSP2338,Inspection notes for inspection 276,True
277,666,Follow-up,2024-11-30,Pass,20,INSP6746,Inspection notes for inspection 277,True
278,94,Complaint,2018-02-21,Fail,46,INSP2909,Inspection notes for inspection 278,False
279,940,Follow-up,2023-07-24,Pass,79,INSP4203,Inspection notes for inspection 279,True
280,750,Complaint,2024-12-26,Pass,92,INSP6462,Inspection notes for inspection 280,True
281,285,Follow-up,2024-01-25,Fail,67,INSP2974,Inspection notes for inspection 281,False
282,421,Complaint,2020-06-12,Pass,79,INSP7167,Inspection notes for inspection 282,True
283,138,Follow-up,2021-04-10,Pass w/ Conditions,18,INSP4225,Inspection notes for inspection 283,True
284,613,Follow-up,2017-09-14,Fail,87,INSP1895,Inspection notes for inspection 284,False
285,562,Routine,2015-06-18,Fail,79,INSP4406,Inspection notes for inspection 285,False
286,576,Routine,2023-05-07,Fail,80,INSP3656,Inspection notes for inspection 286,False
287,475,Routine,2016-02-03,Fail,12,INSP4296,Inspection notes for inspection 287,False
288,928,Routine,2017-02-11,Fail,26,INSP9876,Inspection notes for inspection 288,False
289,561,License,2020-10-17,Pass,19,INSP6836,Inspection notes for inspection 289,True
290,892,Routine,2022-07-22,Pass,83,INSP4705,Inspection notes for inspection 290,True
291,853,Routine,2016-01-09,Pass w/ Conditions,55,INSP1821,Inspection notes for inspection 291,True
292,780,Follow-up,2016-08-15,Fail,80,INSP2786,Inspection notes for inspection 292,False
293,235,Routine,2017-03-02,Pass w/ Conditions,4,INSP6191,Inspection notes for inspection 293,True
294,404,Complaint,2017-04-12,Fail,2,INSP7398,Inspection notes for inspection 294,False
295,472,License,2020-10-16,Fail,39,INSP6193,Inspection notes for inspection 295,False
296,343,License,2023-03-31,Pass,46,INSP3721,Inspection notes for inspection 296,True
297,2,Complaint,2023-04-28,Fail,31,INSP1152,Inspection notes for inspection 297,False
298,585,Complaint,2023-04-10,Pass w/ Conditions,45,INSP4877,Inspection notes for inspection 298,True
299,603,License,2024-11-05,Fail,33,INSP4501,Inspection notes for inspection 299,False
300,108,Complaint,2025-05-21,Pass,13,INSP6683,Inspection notes for inspection 300,True
301,675,Routine,2023-08-16,Fail,28,INSP5244,Inspection notes for inspection 301,False
302,5,License,2023-06-07,Pass,73,INSP8789,Inspection notes for inspection 302,True
303,778,Complaint,2022-08-10,Pass,7,INSP9784,Inspection notes for inspection 303,True
304,143,Routine,2016-02-01,Fail,7,INSP1649,Inspection notes for inspection 304,False
305,78,Routine,2021-08-06,Fail,43,INSP6966,Inspection notes for inspection 305,False
306,886,Routine,2020-03-10,Pass w/ Conditions,3,INSP6371,Inspection notes for inspection 306,True
307,613,Complaint,2021-02-28,Pass,24,INSP4324,Inspection notes for inspection 307,True
308,28,License,2020-01-28,Fail,56,INSP1519,Inspection notes for inspection 308,False
309,857,License,2019-06-19,Fail,50,INSP6614,Inspection notes for inspection 309,False
310,44,Routine,2015-10-13,Pass,98,INSP4721,Inspection notes for inspection 310,True
