restaurant_id,name,type,risk_level,address,city,state,zip,license_number,opening_date,capacity,has_delivery,has_outdoor_seating,restaurant_age_years
19,Restaurant_19,Bakery,Risk 3 (Low),5007 Main St,Chicago,IL,60648,L8154363,2024-12-15,122,1,0,0
20,Restaurant_20,Grocery Store,Risk 1 (High),8496 Main St,Chicago,IL,60698,L5982923,2017-06-13,59,1,0,7
21,Restaurant_21,Grocery Store,Risk 2 (Medium),1438 Main St,Chicago,IL,60657,L2251948,2024-02-21,86,0,1,1
22,Restaurant_22,Grocery Store,Risk 3 (Low),7793 Main St,Chicago,IL,60658,L4109660,2017-11-10,191,0,0,7
23,Restaurant_23,Cafe,Risk 1 (High),8745 Main St,Chicago,IL,60610,L3337066,2020-04-19,26,0,0,5
24,Restaurant_24,Restaurant,Risk 3 (Low),7339 Main St,Chicago,IL,60618,L5625573,2024-10-01,194,1,1,0
25,Restaurant_25,Grocery Store,Risk 3 (Low),2152 Main St,Chicago,IL,60673,L1896764,2024-02-28,57,0,0,1
26,Restaurant_26,Restaurant,Risk 3 (Low),2703 Main St,Chicago,IL,60620,L7363404,2023-11-11,191,0,1,1
27,Restaurant_27,Cafe,Risk 3 (Low),6132 Main St,Chicago,IL,60629,L9686751,2021-10-28,140,1,1,3
28,Restaurant_28,Bakery,Risk 2 (Medium),4651 Main St,Chicago,IL,60693,L4230604,2016-03-28,134,1,1,9
29,Restaurant_29,Grocery Store,Risk 2 (Medium),7121 Main St,Chicago,IL,60676,L6067168,2015-10-31,154,1,1,9
30,Restaurant_30,Cafe,Risk 1 (High),2816 Main St,Chicago,IL,60636,L9224626,2023-04-14,104,0,0,2
31,Restaurant_31,Restaurant,Risk 2 (Medium),6703 Main St,Chicago,IL,60678,L8562742,2022-08-19,55,1,0,2
32,Restaurant_32,Restaurant,Risk 1 (High),4378 Main St,Chicago,IL,60602,L3019584,2021-04-16,36,1,1,4
33,Restaurant_33,Grocery Store,Risk 1 (High),2404 Main St,Chicago,IL,60685,L1485090,2019-10-31,142,1,1,5
34,Restaurant_34,Food Truck,Risk 3 (Low),7744 Main St,Chicago,IL,60655,L9602818,2019-01-18,188,1,1,6
35,Restaurant_35,Food Truck,Risk 3 (Low),5925 Main St,Chicago,IL,60607,L2586969,2024-12-29,155,0,1,0
36,Restaurant_36,Cafe,Risk 1 (High),4347 Main St,Chicago,IL,60642,L2951808,2024-08-05,168,1,0,0
37,Restaurant_37,Bakery,Risk 1 (High),8489 Main St,Chicago,IL,60646,L5093155,2024-01-04,94,0,1,1
38,Restaurant_38,Cafe,Risk 1 (High),6162 Main St,Chicago,IL,60612,L4696375,2024-11-25,71,1,1,0
39,Restaurant_39,Food Truck,Risk 3 (Low),9965 Main St,Chicago,IL,60612,L9198398,2022-06-14,41,0,1,2
40,Restaurant_40,Bakery,Risk 1 (High),8438 Main St,Chicago,IL,60682,L9344850,2022-10-04,68,1,1,2
41,Restaurant_41,Restaurant,Risk 3 (Low),3287 Main St,Chicago,IL,60646,L3718980,2020-05-27,79,1,0,5
42,Restaurant_42,Restaurant,Risk 1 (High),6820 Main St,Chicago,IL,60651,L3632473,2016-04-10,21,0,0,9
43,Restaurant_43,Food Truck,Risk 2 (Medium),9060 Main St,Chicago,IL,60636,L5407839,2015-06-07,158,1,1,9
44,Restaurant_44,Food Truck,Risk 2 (Medium),6039 Main St,Chicago,IL,60663,L5995226,2024-09-28,80,0,0,0
45,Restaurant_45,Cafe,Risk 1 (High),5093 Main St,Chicago,IL,60627,L6907060,2018-11-23,144,0,1,6
46,Restaurant_46,Cafe,Risk 3 (Low),8070 Main St,Chicago,IL,60620,L7233725,2024-05-05,63,0,1,1
47,Restaurant_47,Bakery,Risk 2 (Medium),20 Main St,Chicago,IL,60609,L4109126,2015-06-13,193,0,0,9
48,Restaurant_48,Restaurant,Risk 3 (Low),6474 Main St,Chicago,IL,60678,L6548127,2017-02-15,167,0,0,8
49,Restaurant_49,Cafe,Risk 2 (Medium),9036 Main St,Chicago,IL,60649,L4988680,2018-11-03,58,0,1,6
50,Restaurant_50,Cafe,Risk 1 (High),5678 Main St,Chicago,IL,60652,L7143149,2017-01-12,163,1,1,8
51,Restaurant_51,Food Truck,Risk 2 (Medium),4818 Main St,Chicago,IL,60692,L6929358,2024-07-06,116,1,1,0
52,Restaurant_52,Restaurant,Risk 1 (High),7218 Main St,Chicago,IL,60623,L8366917,2023-08-05,57,1,0,1
53,Restaurant_53,Restaurant,Risk 1 (High),7445 Main St,Chicago,IL,60647,L8244397,2021-10-27,53,1,1,3
54,Restaurant_54,Grocery Store,Risk 2 (Medium),1557 Main St,Chicago,IL,60673,L6138217,2022-08-09,191,0,1,2
55,Restaurant_55,Restaurant,Risk 3 (Low),7290 Main St,Chicago,IL,60696,L2992600,2025-04-18,29,0,1,0
56,Restaurant_56,Restaurant,Risk 3 (Low),5783 Main St,Chicago,IL,60632,L7678421,2019-06-13,136,0,0,5
57,Restaurant_57,Food Truck,Risk 2 (Medium),6142 Main St,Chicago,IL,60615,L9524797,2019-07-10,188,1,0,5
58,Restaurant_58,Bakery,Risk 2 (Medium),7213 Main St,Chicago,IL,60656,L1905752,2015-12-01,83,0,1,9
59,Restaurant_59,Restaurant,Risk 2 (Medium),1180 Main St,Chicago,IL,60682,L5338010,2023-07-08,86,1,1,1
60,Restaurant_60,Restaurant,Risk 1 (High),720 Main St,Chicago,IL,60696,L6471272,2020-08-20,171,1,0,4
61,Restaurant_61,Food Truck,Risk 2 (Medium),5443 Main St,Chicago,IL,60603,L1969189,2020-07-28,94,1,1,4
62,Restaurant_62,Cafe,Risk 2 (Medium),3202 Main St,Chicago,IL,60601,L1684046,2022-11-06,140,0,1,2
63,Restaurant_63,Bakery,Risk 2 (Medium),5763 Main St,Chicago,IL,60695,L3624924,2022-10-16,141,1,1,2
64,Restaurant_64,Grocery Store,Risk 3 (Low),1059 Main St,Chicago,IL,60670,L6318942,2023-08-06,58,1,0,1
65,Restaurant_65,Restaurant,Risk 2 (Medium),7213 Main St,Chicago,IL,60611,L2200542,2017-07-24,87,1,1,7
66,Restaurant_66,Bakery,Risk 1 (High),3932 Main St,Chicago,IL,60651,L9363060,2015-11-20,47,0,1,9
67,Restaurant_67,Cafe,Risk 1 (High),1819 Main St,Chicago,IL,60695,L2728374,2022-03-13,30,1,0,3
68,Restaurant_68,Cafe,Risk 2 (Medium),4898 Main St,Chicago,IL,60649,L1379020,2017-01-05,46,1,0,8
69,Restaurant_69,Food Truck,Risk 3 (Low),7078 Main St,Chicago,IL,60639,L1973248,2021-11-07,161,1,0,3
70,Restaurant_70,Food Truck,Risk 3 (Low),235 Main St,Chicago,IL,60649,L5249029,2016-01-25,170,0,1,9
71,Restaurant_71,Food Truck,Risk 1 (High),1955 Main St,Chicago,IL,60699,L2767245,2019-02-01,160,1,1,6
72,Restaurant_72,Grocery Store,Risk 2 (Medium),343 Main St,Chicago,IL,60672,L4428401,2021-12-05,159,0,1,3
73,Restaurant_73,Grocery Store,Risk 1 (High),2542 Main St,Chicago,IL,60682,L9027180,2022-11-11,58,0,1,2
74,Restaurant_74,Grocery Store,Risk 1 (High),9456 Main St,Chicago,IL,60633,L8022243,2018-08-29,111,0,0,6
75,Restaurant_75,Restaurant,Risk 3 (Low),5329 Main St,Chicago,IL,60678,L2166926,2024-06-02,101,0,1,0
76,Restaurant_76,Restaurant,Risk 3 (Low),1038 Main St,Chicago,IL,60661,L4146598,2018-09-01,83,1,0,6
77,Restaurant_77,Bakery,Risk 2 (Medium),2373 Main St,Chicago,IL,60612,L7977529,2018-10-10,93,1,0,6
78,Restaurant_78,Cafe,Risk 1 (High),1292 Main St,Chicago,IL,60684,L8145420,2024-10-29,143,1,1,0
79,Restaurant_79,Restaurant,Risk 3 (Low),3442 Main St,Chicago,IL,60622,L5395011,2023-06-20,91,0,1,1
80,Restaurant_80,Cafe,Risk 3 (Low),4306 Main St,Chicago,IL,60650,L5427097,2022-02-07,197,1,1,3
81,Restaurant_81,Grocery Store,Risk 2 (Medium),1267 Main St,Chicago,IL,60626,L5580033,2020-06-24,169,1,0,4
82,Restaurant_82,Restaurant,Risk 3 (Low),7450 Main St,Chicago,IL,60668,L1566936,2024-02-21,125,1,1,1
83,Restaurant_83,Cafe,Risk 3 (Low),2183 Main St,Chicago,IL,60695,L8930626,2021-12-25,115,0,1,3
84,Restaurant_84,Cafe,Risk 1 (High),5399 Main St,Chicago,IL,60661,L2912956,2020-05-02,139,1,1,5
85,Restaurant_85,Restaurant,Risk 2 (Medium),8892 Main St,Chicago,IL,60650,L3372546,2016-09-09,85,0,1,8
86,Restaurant_86,Food Truck,Risk 3 (Low),3880 Main St,Chicago,IL,60691,L6842017,2021-01-28,190,1,1,4
87,Restaurant_87,Restaurant,Risk 2 (Medium),1422 Main St,Chicago,IL,60668,L8183334,2016-07-31,54,1,0,8
88,Restaurant_88,Grocery Store,Risk 2 (Medium),2220 Main St,Chicago,IL,60695,L5895873,2024-04-01,62,1,0,1
89,Restaurant_89,Grocery Store,Risk 1 (High),8018 Main St,Chicago,IL,60646,L3470002,2022-09-04,177,0,0,2
90,Restaurant_90,Grocery Store,Risk 3 (Low),6145 Main St,Chicago,IL,60623,L4586122,2018-08-16,32,0,0,6
91,Restaurant_91,Grocery Store,Risk 1 (High),6403 Main St,Chicago,IL,60663,L5620326,2020-02-07,51,0,0,5
92,Restaurant_92,Food Truck,Risk 1 (High),2908 Main St,Chicago,IL,60608,L9960784,2021-04-19,157,0,0,4
93,Restaurant_93,Restaurant,Risk 2 (Medium),3316 Main St,Chicago,IL,60677,L2992504,2020-02-12,40,1,1,5
94,Restaurant_94,Cafe,Risk 2 (Medium),1880 Main St,Chicago,IL,60621,L4146329,2015-09-23,174,0,1,9
95,Restaurant_95,Food Truck,Risk 3 (Low),9458 Main St,Chicago,IL,60679,L3849248,2019-12-28,104,0,0,5
96,Restaurant_96,Restaurant,Risk 3 (Low),6799 Main St,Chicago,IL,60627,L4265644,2021-01-31,122,1,1,4
97,Restaurant_97,Cafe,Risk 1 (High),2629 Main St,Chicago,IL,60615,L5087310,2024-10-22,161,0,0,0
98,Restaurant_98,Bakery,Risk 2 (Medium),9944 Main St,Chicago,IL,60658,L5212617,2015-06-07,111,0,1,9
99,Restaurant_99,Cafe,Risk 3 (Low),2645 Main St,Chicago,IL,60690,L6978472,2020-09-30,34,0,1,4
100,Restaurant_100,Restaurant,Risk 3 (Low),3220 Main St,Chicago,IL,60664,L2121287,2024-12-23,193,0,0,0
101,Restaurant_101,Food Truck,Risk 2 (Medium),6325 Main St,Chicago,IL,60698,L8229604,2025-02-24,158,0,1,0
102,Restaurant_102,Restaurant,Risk 2 (Medium),7820 Main St,Chicago,IL,60641,L5243322,2021-06-15,163,0,0,3
103,Restaurant_103,Restaurant,Risk 1 (High),9267 Main St,Chicago,IL,60655,L9077283,2015-06-29,105,0,0,9
104,Restaurant_104,Restaurant,Risk 2 (Medium),3448 Main St,Chicago,IL,60626,L7778310,2017-07-27,51,0,1,7
105,Restaurant_105,Bakery,Risk 3 (Low),7667 Main St,Chicago,IL,60636,L5767323,2016-07-19,31,0,1,8
106,Restaurant_106,Cafe,Risk 1 (High),5201 Main St,Chicago,IL,60695,L1257000,2021-08-13,194,1,1,3
107,Restaurant_107,Grocery Store,Risk 3 (Low),3909 Main St,Chicago,IL,60603,L1062877,2016-02-02,101,1,1,9
108,Restaurant_108,Restaurant,Risk 3 (Low),9589 Main St,Chicago,IL,60642,L2790917,2024-01-18,39,1,0,1
109,Restaurant_109,Restaurant,Risk 3 (Low),1960 Main St,Chicago,IL,60676,L6488913,2019-04-30,188,0,1,6
110,Restaurant_110,Grocery Store,Risk 1 (High),2462 Main St,Chicago,IL,60650,L9846802,2015-07-03,121,1,1,9
111,Restaurant_111,Restaurant,Risk 1 (High),6758 Main St,Chicago,IL,60630,L3648472,2022-01-02,98,1,0,3
112,Restaurant_112,Bakery,Risk 3 (Low),4136 Main St,Chicago,IL,60664,L6730145,2018-02-26,180,0,1,7
113,Restaurant_113,Grocery Store,Risk 1 (High),3472 Main St,Chicago,IL,60614,L7349184,2020-12-19,165,1,0,4
114,Restaurant_114,Restaurant,Risk 3 (Low),2505 Main St,Chicago,IL,60656,L4538024,2020-06-04,20,0,1,4
115,Restaurant_115,Cafe,Risk 2 (Medium),3297 Main St,Chicago,IL,60674,L5300641,2017-01-14,194,1,0,8
116,Restaurant_116,Bakery,Risk 1 (High),1292 Main St,Chicago,IL,60630,L5070995,2019-08-19,131,1,0,5
117,Restaurant_117,Restaurant,Risk 3 (Low),3587 Main St,Chicago,IL,60656,L3186441,2017-03-21,147,1,1,8
118,Restaurant_118,Bakery,Risk 2 (Medium),6880 Main St,Chicago,IL,60609,L3626612,2020-10-27,96,0,1,4
119,Restaurant_119,Food Truck,Risk 3 (Low),7696 Main St,Chicago,IL,60613,L3756651,2017-10-24,20,0,1,7
120,Restaurant_120,Grocery Store,Risk 1 (High),1384 Main St,Chicago,IL,60674,L4744869,2022-01-03,197,0,0,3
121,Restaurant_121,Grocery Store,Risk 2 (Medium),8546 Main St,Chicago,IL,60642,L5802001,2019-11-07,36,0,1,5
122,Restaurant_122,Restaurant,Risk 1 (High),3914 Main St,Chicago,IL,60638,L4670941,2018-03-03,108,0,0,7
123,Restaurant_123,Cafe,Risk 2 (Medium),1789 Main St,Chicago,IL,60633,L8033432,2019-07-10,167,1,1,5
124,Restaurant_124,Restaurant,Risk 3 (Low),8480 Main St,Chicago,IL,60688,L4924421,2021-07-13,84,1,0,3
125,Restaurant_125,Bakery,Risk 1 (High),6449 Main St,Chicago,IL,60647,L3595745,2020-04-04,24,0,1,5
126,Restaurant_126,Cafe,Risk 3 (Low),5963 Main St,Chicago,IL,60664,L9819947,2016-01-19,98,1,0,9
127,Restaurant_127,Bakery,Risk 2 (Medium),8114 Main St,Chicago,IL,60696,L8003740,2016-10-08,90,0,0,8
128,Restaurant_128,Food Truck,Risk 2 (Medium),5414 Main St,Chicago,IL,60620,L6435863,2015-09-08,31,0,1,9
129,Restaurant_129,Bakery,Risk 3 (Low),6169 Main St,Chicago,IL,60649,L4657969,2022-08-15,58,1,0,2
130,Restaurant_130,Food Truck,Risk 3 (Low),1724 Main St,Chicago,IL,60667,L2587353,2021-11-09,40,1,1,3
131,Restaurant_131,Grocery Store,Risk 1 (High),5750 Main St,Chicago,IL,60608,L3065644,2023-05-29,54,0,1,2
132,Restaurant_132,Grocery Store,Risk 1 (High),1457 Main St,Chicago,IL,60696,L2959542,2022-01-05,162,0,1,3
133,Restaurant_133,Grocery Store,Risk 3 (Low),4728 Main St,Chicago,IL,60618,L1879141,2024-06-20,75,1,1,0
134,Restaurant_134,Cafe,Risk 2 (Medium),4697 Main St,Chicago,IL,60655,L2967089,2018-10-02,61,0,0,6
135,Restaurant_135,Bakery,Risk 2 (Medium),2378 Main St,Chicago,IL,60603,L9770516,2020-06-23,92,0,1,4
136,Restaurant_136,Grocery Store,Risk 3 (Low),8576 Main St,Chicago,IL,60668,L3424714,2022-09-23,47,1,1,2
137,Restaurant_137,Grocery Store,Risk 2 (Medium),5969 Main St,Chicago,IL,60654,L6556211,2017-05-29,22,0,0,8
138,Restaurant_138,Cafe,Risk 1 (High),6948 Main St,Chicago,IL,60622,L1340331,2020-08-24,51,0,0,4
139,Restaurant_139,Cafe,Risk 2 (Medium),2159 Main St,Chicago,IL,60640,L6352243,2025-03-21,164,1,1,0
140,Restaurant_140,Cafe,Risk 1 (High),8094 Main St,Chicago,IL,60699,L3702503,2022-02-07,187,1,0,3
141,Restaurant_141,Grocery Store,Risk 1 (High),1883 Main St,Chicago,IL,60683,L7130084,2022-06-23,174,0,1,2
142,Restaurant_142,Bakery,Risk 3 (Low),3485 Main St,Chicago,IL,60632,L5683016,2018-03-27,86,1,1,7
143,Restaurant_143,Food Truck,Risk 1 (High),8271 Main St,Chicago,IL,60627,L6675256,2016-12-26,103,1,0,8
144,Restaurant_144,Restaurant,Risk 1 (High),8010 Main St,Chicago,IL,60695,L2864335,2019-03-06,116,0,0,6
145,Restaurant_145,Cafe,Risk 3 (Low),967 Main St,Chicago,IL,60663,L2805740,2021-12-15,53,1,0,3
146,Restaurant_146,Food Truck,Risk 3 (Low),543 Main St,Chicago,IL,60644,L2639796,2024-02-29,70,1,1,1
147,Restaurant_147,Bakery,Risk 2 (Medium),9251 Main St,Chicago,IL,60689,L3501346,2019-10-24,38,0,1,5
148,Restaurant_148,Restaurant,Risk 2 (Medium),1748 Main St,Chicago,IL,60602,L1874849,2021-04-16,39,1,1,4
149,Restaurant_149,Food Truck,Risk 2 (Medium),4318 Main St,Chicago,IL,60612,L5205434,2024-06-20,153,0,1,0
150,Restaurant_150,Cafe,Risk 2 (Medium),4749 Main St,Chicago,IL,60698,L5144446,2021-06-29,58,0,0,3
151,Restaurant_151,Grocery Store,Risk 2 (Medium),9508 Main St,Chicago,IL,60645,L8350760,2016-07-15,85,0,1,8
152,Restaurant_152,Cafe,Risk 2 (Medium),3137 Main St,Chicago,IL,60658,L8738506,2021-06-25,34,1,0,3
153,Restaurant_153,Bakery,Risk 2 (Medium),5638 Main St,Chicago,IL,60616,L4737881,2019-11-10,107,1,1,5
154,Restaurant_154,Bakery,Risk 3 (Low),6494 Main St,Chicago,IL,60635,L4066865,2017-09-22,124,0,1,7
155,Restaurant_155,Grocery Store,Risk 3 (Low),9456 Main St,Chicago,IL,60603,L6592770,2015-10-19,58,1,0,9
156,Restaurant_156,Food Truck,Risk 2 (Medium),1228 Main St,Chicago,IL,60610,L7752945,2019-02-08,172,0,1,6
157,Restaurant_157,Food Truck,Risk 1 (High),367 Main St,Chicago,IL,60665,L7831176,2018-08-24,175,1,1,6
158,Restaurant_158,Cafe,Risk 3 (Low),4401 Main St,Chicago,IL,60605,L5541873,2018-02-19,110,1,0,7
159,Restaurant_159,Grocery Store,Risk 2 (Medium),9549 Main St,Chicago,IL,60682,L3591353,2018-08-30,57,1,0,6
160,Restaurant_160,Cafe,Risk 1 (High),9468 Main St,Chicago,IL,60645,L8899396,2015-07-07,156,1,0,9
161,Restaurant_161,Food Truck,Risk 2 (Medium),5960 Main St,Chicago,IL,60653,L8495544,2023-12-18,195,0,1,1
162,Restaurant_162,Cafe,Risk 3 (Low),9036 Main St,Chicago,IL,60656,L7156849,2023-08-19,44,0,1,1
163,Restaurant_163,Food Truck,Risk 2 (Medium),5206 Main St,Chicago,IL,60613,L1354650,2019-03-24,105,1,0,6
164,Restaurant_164,Cafe,Risk 3 (Low),3511 Main St,Chicago,IL,60603,L2822998,2020-07-08,41,1,0,4
165,Restaurant_165,Grocery Store,Risk 2 (Medium),4613 Main St,Chicago,IL,60606,L2277339,2021-01-18,121,1,1,4
166,Restaurant_166,Grocery Store,Risk 3 (Low),6899 Main St,Chicago,IL,60661,L5180069,2024-05-24,197,0,1,1
167,Restaurant_167,Bakery,Risk 1 (High),870 Main St,Chicago,IL,60668,L3235462,2016-06-13,72,0,0,8
168,Restaurant_168,Bakery,Risk 1 (High),2837 Main St,Chicago,IL,60633,L1493143,2019-10-07,165,0,1,5
169,Restaurant_169,Restaurant,Risk 3 (Low),4068 Main St,Chicago,IL,60679,L4655007,2020-05-10,114,0,1,5
170,Restaurant_170,Restaurant,Risk 1 (High),4073 Main St,Chicago,IL,60631,L9035433,2025-02-21,171,0,0,0
171,Restaurant_171,Food Truck,Risk 2 (Medium),319 Main St,Chicago,IL,60648,L8342405,2019-06-17,153,1,1,5
172,Restaurant_172,Food Truck,Risk 2 (Medium),2369 Main St,Chicago,IL,60647,L8695344,2021-06-03,129,1,1,3
173,Restaurant_173,Restaurant,Risk 3 (Low),5434 Main St,Chicago,IL,60672,L3422746,2015-06-02,172,0,0,10
174,Restaurant_174,Grocery Store,Risk 2 (Medium),2483 Main St,Chicago,IL,60636,L3349870,2022-02-04,147,1,1,3
175,Restaurant_175,Food Truck,Risk 1 (High),2542 Main St,Chicago,IL,60614,L2020714,2020-04-04,32,1,0,5
176,Restaurant_176,Bakery,Risk 1 (High),8422 Main St,Chicago,IL,60680,L8245411,2024-10-01,158,0,1,0
177,Restaurant_177,Bakery,Risk 3 (Low),1775 Main St,Chicago,IL,60666,L9347877,2017-11-19,106,0,0,7
178,Restaurant_178,Cafe,Risk 1 (High),8331 Main St,Chicago,IL,60639,L6014537,2022-08-15,32,0,1,2
179,Restaurant_179,Cafe,Risk 1 (High),3595 Main St,Chicago,IL,60698,L3349075,2018-11-02,193,0,0,6
180,Restaurant_180,Bakery,Risk 1 (High),1089 Main St,Chicago,IL,60651,L4827149,2016-06-25,122,1,0,8
181,Restaurant_181,Restaurant,Risk 1 (High),6739 Main St,Chicago,IL,60656,L4117982,2020-04-19,160,1,0,5
182,Restaurant_182,Food Truck,Risk 3 (Low),3915 Main St,Chicago,IL,60633,L4975403,2015-11-27,40,0,1,9
183,Restaurant_183,Grocery Store,Risk 1 (High),9668 Main St,Chicago,IL,60674,L7580898,2017-12-26,139,0,0,7
184,Restaurant_184,Bakery,Risk 2 (Medium),1126 Main St,Chicago,IL,60680,L8742643,2017-04-15,24,0,1,8
185,Restaurant_185,Food Truck,Risk 1 (High),7469 Main St,Chicago,IL,60679,L8560258,2024-06-18,85,1,0,0
186,Restaurant_186,Food Truck,Risk 2 (Medium),2016 Main St,Chicago,IL,60676,L4460757,2021-02-28,136,1,1,4
187,Restaurant_187,Bakery,Risk 1 (High),1082 Main St,Chicago,IL,60660,L2983910,2017-04-20,181,0,0,8
188,Restaurant_188,Restaurant,Risk 3 (Low),9451 Main St,Chicago,IL,60629,L9260288,2018-05-13,138,0,0,7
189,Restaurant_189,Restaurant,Risk 3 (Low),7607 Main St,Chicago,IL,60626,L9685663,2017-01-30,100,0,0,8
190,Restaurant_190,Cafe,Risk 3 (Low),6861 Main St,Chicago,IL,60685,L6048933,2021-10-02,102,0,0,3
191,Restaurant_191,Food Truck,Risk 2 (Medium),3121 Main St,Chicago,IL,60656,L1417561,2023-07-16,185,0,1,1
192,Restaurant_192,Grocery Store,Risk 3 (Low),3331 Main St,Chicago,IL,60646,L4332262,2016-10-04,28,0,0,8
193,Restaurant_193,Cafe,Risk 3 (Low),3942 Main St,Chicago,IL,60691,L8308503,2023-10-13,139,1,0,1
194,Restaurant_194,Restaurant,Risk 1 (High),9928 Main St,Chicago,IL,60661,L8330373,2018-09-13,178,0,1,6
195,Restaurant_195,Cafe,Risk 3 (Low),2416 Main St,Chicago,IL,60650,L4314757,2024-12-29,193,0,0,0
196,Restaurant_196,Grocery Store,Risk 1 (High),1880 Main St,Chicago,IL,60696,L7743294,2016-10-14,69,1,0,8
197,Restaurant_197,Restaurant,Risk 2 (Medium),5070 Main St,Chicago,IL,60640,L5582691,2019-02-15,181,0,0,6
198,Restaurant_198,Bakery,Risk 2 (Medium),9842 Main St,Chicago,IL,60669,L6998222,2018-12-07,77,1,0,6
199,Restaurant_199,Food Truck,Risk 2 (Medium),1890 Main St,Chicago,IL,60656,L8836319,2018-07-04,101,1,0,6
200,Restaurant_200,Bakery,Risk 1 (High),364 Main St,Chicago,IL,60628,L7834917,2020-09-27,180,1,1,4
201,Restaurant_201,Cafe,Risk 1 (High),6768 Main St,Chicago,IL,60691,L3735396,2022-06-03,21,1,0,2
202,Restaurant_202,Cafe,Risk 1 (High),6028 Main St,Chicago,IL,60611,L6191613,2023-11-08,176,1,0,1
203,Restaurant_203,Grocery Store,Risk 1 (High),3540 Main St,Chicago,IL,60683,L4866222,2025-01-20,46,0,0,0
204,Restaurant_204,Bakery,Risk 2 (Medium),2598 Main St,Chicago,IL,60655,L3055040,2023-08-04,118,1,1,1
205,Restaurant_205,Food Truck,Risk 3 (Low),2960 Main St,Chicago,IL,60623,L2366470,2016-10-24,70,1,1,8
206,Restaurant_206,Restaurant,Risk 2 (Medium),4492 Main St,Chicago,IL,60617,L1738014,2016-01-02,41,1,1,9
207,Restaurant_207,Cafe,Risk 1 (High),1362 Main St,Chicago,IL,60688,L5971361,2023-02-13,159,0,1,2
208,Restaurant_208,Grocery Store,Risk 3 (Low),4168 Main St,Chicago,IL,60653,L1962706,2020-04-14,193,0,1,5
209,Restaurant_209,Grocery Store,Risk 1 (High),4496 Main St,Chicago,IL,60615,L7657278,2024-12-19,64,0,1,0
210,Restaurant_210,Bakery,Risk 3 (Low),34 Main St,Chicago,IL,60611,L8856782,2017-07-03,72,1,0,7
211,Restaurant_211,Food Truck,Risk 2 (Medium),8056 Main St,Chicago,IL,60605,L3201565,2018-03-29,58,0,1,7
212,Restaurant_212,Bakery,Risk 1 (High),2546 Main St,Chicago,IL,60687,L9866409,2018-11-29,157,0,0,6
213,Restaurant_213,Food Truck,Risk 2 (Medium),8445 Main St,Chicago,IL,60656,L9058273,2017-01-28,140,0,1,8
214,Restaurant_214,Grocery Store,Risk 2 (Medium),9388 Main St,Chicago,IL,60663,L9186973,2024-10-20,140,1,0,0
215,Restaurant_215,Bakery,Risk 3 (Low),1907 Main St,Chicago,IL,60654,L2784245,2018-12-05,52,1,0,6
216,Restaurant_216,Grocery Store,Risk 3 (Low),6071 Main St,Chicago,IL,60679,L7977590,2017-07-22,192,1,0,7
217,Restaurant_217,Food Truck,Risk 1 (High),3055 Main St,Chicago,IL,60691,L1414869,2018-03-07,166,1,0,7
